Book-Title,Author-Name,Description,Level,Image-URL,ISBN,Ratings,Genres
Artificial Intelligence: Foundations of Computational Agents,David L. Poole and Alan K. Mackworth,"A rigorous introduction to artificial intelligence, covering the foundations of computational agents and the principles of intelligent behavior.",advanced,"https://m.media-amazon.com/images/I/51cWmPO2NBL._SX340_BO1,204,203,200_.jpg",521519004,0,AI
Artificial Intelligence: A Beginner's Guide,George F. Luger,"A concise and accessible introduction to artificial intelligence, suitable for readers with no prior background in the field",beginners,"https://m.media-amazon.com/images/I/51d3qBUDj3L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",? 0132090015,4.3,AI
Grokking Deep Reinforcement Learning 1st Edition,Miguel Morales ,Grokking Deep Reinforcement Learning uses engaging exercises to teach you how to build deep learning systems. This book combines annotated Python code with intuitive explanations to explore DRL techniques. You’ll see how algorithms function and learn to develop your own DRL agents using evaluative feedback.,beginners,"https://m.media-amazon.com/images/I/61KOxk3sEnL._SX396_BO1,204,203,200_.jpg",1617295450,0,AI
Deep Learning for Vision Systems 1st Edition, Mohamed Elgendy,"Computer vision is central to many leading-edge innovations, including self-driving cars, drones, augmented reality, facial recognition, and much, much more. Amazing new computer vision applications are developed every day, thanks to rapid advances in AI and deep learning (DL). Deep Learning for Vision Systems teaches you the concepts and tools for building intelligent, scalable computer vision systems that can identify and react to objects in images, videos, and real life. With author Mohamed Elgendy's expert instruction and illustration of real-world projects, you’ll finally grok state-of-the-art deep learning techniques, so you can build, contribute to, and lead in the exciting realm of computer vision!",intermediate,"https://m.media-amazon.com/images/I/41kRKGtrk-L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1617296198,4.4,AI
Machine Learning for Dummies,John Paul Mueller and Luca Massaron,Machine Learning for Dummies provides an entry point for anyone looking to get a foothold on Machine Learning. It covers all the basic concepts and theories of machine learning and how they apply to the real world. It introduces a little coding in Python and R to teach machines to perform data analysis and pattern-oriented tasks.,beginners,"https://m.media-amazon.com/images/I/514PnCc2a9L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1119245516,4.71,AI
Artificial Intelligence and Machine Learning," Vinod Chandra S. S., ANAND HAREENDRAN S. ",The primary audience for this book is computer science and engineering undergraduate and graduate students. The book uncovers the gap between the challenging environments of artificial intelligence and machine learning. All the concepts are explained with the help of case studies and worked-out examples.,intermediate,https://m.media-amazon.com/images/I/51ahtSRNRcL.jpg,9.79E+12,2,AI
Make Your Own Neural Network,Tariq Rashid,"One of the books on artificial intelligence provides its readers with a step-by-step journey through the mathematics of Neural Networks. It starts with very simple ideas and gradually builds up an understanding of how neural networks work. Using Python language, it encourages its readers to build their own neural networks.",intermediate,"https://m.media-amazon.com/images/I/51jG5SqdsjL._SX363_BO1,204,203,200_.jpg",1530826608,2,AI
Machine Learning: The New AI,Ethem Alpaydin,"Machine Learning: The New AI gives a concise overview of machine learning. It describes its evolution, explains important learning algorithms, and presents example applications. It explains how digital technology has advanced from number-crunching machines to mobile devices, putting today’s machine learning boom in context.",beginners,"https://m.media-amazon.com/images/I/41tbDTTTYSL._SX355_BO1,204,203,200_.jpg",262529513,1,AI
"Fundamentals of Machine Learning for Predictive Data Analytics: Algorithms, Worked Examples, and Case Studies","John D. Kelleher, Brian Mac Namee, Aoife D’Arcy","This AI Book covers all machine learning fundamentals, practical applications, working examples, and case studies. It gives detailed descriptions of important machine learning approaches used in predictive analytics.",intermediate,"https://m.media-amazon.com/images/I/513Iqg6WRxL._SX390_BO1,204,203,200_.jpg",262029448,4.6,AI
The Hundred-Page Machine Learning Book,Andriy Burkov,"Andriy Burkov’s “The Hundred-Page Machine Learning Book” is regarded by many industry experts as the best book on machine learning. For newcomers, it gives a thorough introduction to the fundamentals of machine learning. For experienced professionals, it gives practical recommendations from the author’s rich AI field experience.",beginners,"https://m.media-amazon.com/images/I/411CpImAaAL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",199957950X,1,AI
Artificial Intelligence for Humans, Jeff Heaton,This book helps its readers get an overview and understanding of AI algorithms. It is meant to teach AI to those who don’t have an extensive mathematical background. The readers need to have only a basic knowledge of computer programming and college algebra.,intermediate,"https://m.media-amazon.com/images/I/51QCYhzv7ML._SX404_BO1,204,203,200_.jpg",1493682229,4,AI
Machine Learning for Beginners,Chris Sebastian,"As per its title, Machine Learning for Beginners is meant for absolute beginners. It traces the history of the early days of machine learning to what it has become today. It describes how big data is important for machine learning and how programmers use it to develop learning algorithms. Concepts such as AI, neural networks, swarm intelligence, etc., are explained in detail.",beginners,https://m.media-amazon.com/images/I/51GxW8immiL.jpg,1793016429,2.2,AI
Applied Artificial Intelligence: A Handbook for Business Leaders,"Mariya Yao, Adelyn Zhou, Marlene Jia",Applied Artificial Intelligence is a helpful handbook for business professionals who are enthusiastic about utilizing artificial intelligence to improve their company’s efficiency and the overall standard of living in their societies.,advanced,"https://m.media-amazon.com/images/I/411uES9IOeL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",998289027,4.2,AI
Advances in Financial Machine Learning,Marcos Lopez de Prado,"This book talks about how one can structure Big Data so that Machine Language Algorithms can work on it, how to leverage supercomputing techniques, how to perform research on that data using ML algorithms, and how to backtest findings while minimizing false positives.",advanced,"https://m.media-amazon.com/images/I/51A6sUbwG2L._SX329_BO1,204,203,200_.jpg",1119482089,0,AI
"Deep Learning in Computer Vision
Principles and Applications","Mahmoud Hassaballah, Ali Ismail Awad","Deep learning algorithms have brought a revolution to the computer vision community by introducing non-traditional and efficient solutions to several image-related problems that had long remained unsolved or partially addressed. This book presents a collection of eleven chapters where each individual chapter explains the deep learning principles of a specific topic, introduces reviews of up-to-date techniques, and presents research findings to the computer vision community. The book covers a broad scope of topics in deep learning concepts and applications such as accelerating the convolutional neural network inference on field-programmable gate arrays, fire detection in surveillance applications, face recognition, action and activity recognition, semantic segmentation for autonomous driving, aerial imagery registration, robot vision, tumor detection, and skin lesion segmentation as well as skin melanoma classification.",intermediate,https://images.routledge.com/common/jackets/amazon/978103224/9781032242859.jpg?_ga=1792395018.1679152932&_gl=1*g1b7yv*_ga*MTc5MjM5NTAxOC4xNjc5MTUyOTMy*_ga_0HYE8YG0M6*MTY3OTE1MjkzNi4xLjAuMTY3OTE1MjkzNi4wLjAuMA..,9.78E+12,4.4,AI
Human + Machine: Reimagining Work in the Age of AI,"Paul R. Daugherty, H. James Wilson","In Human + Machine, Accenture leaders Paul R. Daugherty and H. James (Jim) Wilson show that the essence of the AI paradigm shift is the transformation of all business processes within an organization--whether related to breakthrough innovation, everyday customer service, or personal productivity habits. As humans and smart machines collaborate ever more closely, work processes become more fluid and adaptive, enabling companies to change them on the fly--or to completely reimagine them. AI is changing all the rules of how companies operate.",intermediate,"https://m.media-amazon.com/images/I/51zXCP6tvtL._SX330_BO1,204,203,200_.jpg",1633693864,4,AI
Architects of Intelligence: The truth about AI from the people building it,Martin Ford,"This book grounded me on the essential dimensions of human intelligence, and where AI is at as it evolves rapidly along some dimensions and slowly along others.",beginners,https://m.media-amazon.com/images/I/416CY5lGamL.jpg,1789131510,0,AI
The Nature of Statistical Learning Theory,V. N. Vapnik,"This book is a comprehensive introduction to statistical learning theory, a field that studies the mathematical foundations of machine learning. It is suitable for readers with a strong background in mathematics",advanced,"https://m.media-amazon.com/images/I/41KCOU0mKCL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",387987800,0,AI
Foundations of Machine Learning((Adaptive Computation and Machine Learning series)," Mehryar Mohri, Afshin Rostamizadeh, and Ameet Talwalkar","This book is a comprehensive introduction to machine learning, covering both theoretical foundations and practical algorithms. ",advanced,"https://m.media-amazon.com/images/I/41fqHpSJeqL._SX367_BO1,204,203,200_.jpg",026201825X,0,AI
Neural Networks for Pattern Recognition, Christopher M. Bishop,"This book is a comprehensive introduction to neural networks, a type of machine learning algorithm that is inspired by the structure of the brain.",advanced,"https://m.media-amazon.com/images/I/41F78GaMo5L._SX337_BO1,204,203,200_.jpg",9.78E+12,4.4,AI
Support Vector Machines,Cristianini and Shawe-Taylor,"This book is a comprehensive introduction to support vector machines, a popular type of machine learning algorithm that is used for classification and regression tasks.",advanced,"https://m.media-amazon.com/images/I/41siXHphsLL._SX328_BO1,204,203,200_.jpg",521780195,4.2,AI
Bayesian Reasoning and Machine Learning,David Barber,"This book is a comprehensive introduction to Bayesian reasoning and machine learning, covering both the theoretical foundations and practical algorithms. It is suitable for readers with a strong background in mathematics and computer science",advanced,"https://m.media-amazon.com/images/I/41gjQA-d32L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",521518148,4.3,AI
Probabilistic Programming and Bayesian Methods for Hackers,Cameron Davidson-Pilon,"Bayesian methods of inference are deeply natural and extremely powerful. However, most discussions of Bayesian inference rely on intensely complex mathematical analyses and artificial examples, making it inaccessible to anyone without a strong mathematical background. Now, though, Cameron Davidson-Pilon introduces Bayesian inference from a computational perspective, bridging theory to practice–freeing you to get results using computing power",advanced,"https://m.media-amazon.com/images/I/41TYm9J8P1L._SX382_BO1,204,203,200_.jpg",133902838,3,AI
Programming Collective Intelligence,Toby Segaran ,"This book is a practical guide to building intelligent systems that can learn from data and make intelligent decisions. It covers a wide range of topics including machine learning, natural language processing, and data visualization. It is suitable for readers with some programming experience",intermediate,"https://m.media-amazon.com/images/I/5147HTcsh1L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",596529325,4.1,AI
"Artificial Intelligence By Example: Acquire advanced AI, machine learning, and deep learning design skills, 2nd Edition",Denis Rothman,"This book will make you an adaptive thinker and help you apply concepts to real-world scenarios. Using some of the most interesting AI examples, right from computer programs such as a simple chess engine to cognitive chatbots, you will learn how to tackle the machine you are competing with. You will study some of the most advanced machine learning models, understand how to apply AI to blockchain and Internet of Things (IoT), and develop emotional quotient in chatbots using neural networks such as recurrent neural networks (RNNs) and convolutional neural networks (CNNs).",intermediate,"https://m.media-amazon.com/images/I/51XBCmK7EgL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1839211539,4,AI
Deep Learning: A Practitioner's Approach 1st Edition,"Josh Patterson, Adam Gibson","Authors Adam Gibson and Josh Patterson provide theory on deep learning before introducing their open-source Deeplearning4j (DL4J) library for developing production-class workflows. Through real-world examples, you’ll learn methods and strategies for training deep network architectures and running deep learning workflows on Spark and Hadoop with DL4J.",intermediate,"https://m.media-amazon.com/images/I/51sXr27lwVL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1491914254,2.8,AI
Building Machine Learning Systems with Python,Willi Richert and Luis Pedro Coelho ,"This book is a practical guide to building machine learning systems using Python. It covers a wide range of topics including machine learning, natural language processing, and data visualization. It is suitable for readers with some programming experience",intermediate,"https://m.media-amazon.com/images/I/51ilG0SckAL._SX404_BO1,204,203,200_.jpg",1788623223,4,AI
Data Science from Scratch,Joel Grus,"This book is an introduction to data science, covering a wide range of topics including machine learning, data visualization, and statistics. It is suitable for readers with some programming experience",intermediate,"https://m.media-amazon.com/images/I/51Yyr31C4FL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1492041130,4.2,AI
Introduction to Artificial Neural Networks,Kevin Gurney ,"This book is an introduction to artificial neural networks, a type of machine learning algorithm that is inspired by the structure of the brain.",intermediate,"https://m.media-amazon.com/images/I/4158Rhxfn+L._SY344_BO1,204,203,200_.jpg",1857285034,0,AI
The Elements of Artificial Intelligence Using Common LISP,Steven L. Tanimoto ,"This book is an introduction to artificial intelligence, covering a wide range of topics including search, reasoning, planning, and natural language processing.",intermediate,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392504399i/387992.jpg,716780283,4,AI
Python Machine Learning: The Ultimate Beginner's Guide to Learn Python Machine Learning Step by Step using Scikit-Learn and Tensorflow,ryan Turner,"Are you a novice programmer who wants to learn Python Machine Learning? Are you worried about how to translate what you already know into Python? This book will help you overcome those problems! As machines get ever more complex and perform more and more tasks to free up our time, so it is that new ideas are developed to help us continually improve their speed and abilities.",beginners,https://images-na.ssl-images-amazon.com/images/I/41VkICdTF5L.jpg,1647710030,4.1,AI
"The Emotion Machine: Commonsense Thinking, Artificial Intelligence, and the future of the human mind", Marvin Minsky,"This is a brilliant book that challenges many ideas about thinking and the mind. It is as insightful and provocative as it is original, the fruit of a lifetime spentthinking about thinking.",advanced,"https://m.media-amazon.com/images/I/51JmUsg6AQS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",743276647,1.7,AI
"Artificial Neural Networks: Concepts, Tools and Techniques Explained for Absolute Beginners",Francois Duval," An Artificial Neural Network (ANN) is a computational model. It is based on the structure and functions of biological neural networks. It works like the way human (animal) brain processes information. It includes a large number of connected processing units called neurons that work together to process information. They also generate meaningful results from it. In this book, we will take you through the complete introduction to Artificial Neural Network, Artificial Neural Network Structure, layers of ANN, Applications, Algorithms, Tools and technology, Practical implementations and the benefits and limitations of ANN.",beginners,https://images-na.ssl-images-amazon.com/images/I/51VHUrsJtBL.jpg,198513456X,4.2,AI
Artificial Intelligence Making Machines Learn: A friendly Introduction,Eckhart Wein ,Do You want to learn Everything about Artificial Intelligence? This book is your answer! Fascination Artificial Intelligence It is crazy but at the same time fascinating at how smart machines have become in the last years. Machines that can learn to drive a car or machines that can learn to play chess are already a part of today`s possible technology. In the future the possibilities of Artificial Intelligence are endless. In a couple of years smart machines will be able to think just like humans do. In this book we take a closer look at how machines learn without going into too much technical details.,beginners,https://m.media-amazon.com/images/I/51ZAhBTkroL.jpg,1980213682,4,AI
Artificial Intelligence and Soft Computing: Behavioral and Cognitive Modeling of the Human Brain,Amit Konar,"Artificial Intelligence and Soft Computing: Behavioral and Cognitive Modeling of the Human Brain is unique for its diverse content, clear presentation, and overall completeness. It provides a practical, detailed introduction that will prove valuable to computer science practitioners and students as well as to researchers migrating to the subject from other disciplines.",advanced,"https://m.media-amazon.com/images/I/41BJAlukHPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",9.78E+12,2.86,AI
Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"How will Artificial Intelligence affect crime, war, justice, jobs, society and our very sense of being human? The rise of AI has the potential to transform our future more than any other technology--and there's nobody better qualified or situated to explore that future than Max Tegmark, an MIT professor who's helped mainstream research on how to keep AI beneficial.",intermediate,"https://m.media-amazon.com/images/I/41-KHndhtVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",1101946598,4,AI
"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"Dr. Kai-Fu Lee—one of the world’s most respected experts on AI and China—reveals that China has suddenly caught up to the US at an astonishingly rapid and unexpected pace.In AI Superpowers, Kai-Fu Lee argues powerfully that because of these unprecedented developments in AI, dramatic changes will be happening much sooner than many of us expected. Indeed, as the US-Sino AI competition begins to heat up, Lee urges the US and China to both accept and to embrace the great responsibilities that come with significant technological power.",advanced,"https://m.media-amazon.com/images/I/41DgGgioIqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg", 132854639X,3.9,AI
Our Final Invention: Artificial Intelligence and the End of the Human Era,James Barrat,"In as little as a decade, artificial intelligence could match, then surpass human intelligence. Corporations & government agencies around the world are pouring billions into achieving AI’s Holy Grail—human-level intelligence. Once AI has attained it, scientists argue, it will have survival drives much like our own. We may be forced to compete with a rival more cunning, more powerful & more alien than we can imagine. Thru profiles of tech visionaries, industry watchdogs & groundbreaking AI systems, James Barrat's Our Final Invention explores the perils of the heedless pursuit of advanced AI. Until now, human intelligence has had no rival. Can we coexist with beings whose intelligence dwarfs our own? Will they allow us to?",advanced,"https://m.media-amazon.com/images/I/41RdsvJsUdL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",312622376,2.99,AI
Social Engineering: The Science of Human Hacking,Christopher Hadnagy,"Social Engineering: The Science of Human Hacking reveals the craftier side of the hacker’s repertoire—why hack into something when you could just ask for access? Undetectable by firewalls and antivirus software, social engineering relies on human fault to gain access to sensitive spaces; in this book, renowned expert Christopher Hadnagy explains the most commonly-used techniques that fool even the most robust security personnel, and shows you how these techniques have been used in the past. The way that we make decisions as humans affects everything from our emotions to our security. Hackers, since the beginning of time, have figured out ways to exploit that decision making process and get you to take an action not in your best interest. This new Second Edition has been updated with the most current methods used by sharing stories, examples, and scientific study behind how those decisions are exploited.",intermediate,"https://m.media-amazon.com/images/I/41RuVPa-4JL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",111943338X,1,Cyber Security
The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data,"Kevin Mitnick, Robert Vamosi Mikko Hypponen ","Reading this book, you will learn everything from password protection and smart Wi-Fi usage to advanced techniques designed to maximize your anonymity. Kevin Mitnick knows exactly how vulnerabilities can be exploited and just what to do to prevent that from happening.The world's most famous -- and formerly the US government's most wanted -- computer hacker, he has hacked into some of the country's most powerful and seemingly impenetrable agencies and companies, and at one point was on a three-year run from the FBI. Now Mitnick is reformed and widely regarded as the expert on the subject of computer security. Invisibility isn't just for superheroes; privacy is a power you deserve and need in the age of Big Brother and Big Data.",advanced,"https://m.media-amazon.com/images/I/51q7xoJQVdL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",316380504,4,Cyber Security
Practical Malware Analysis: The Hands-On Guide to Dissecting Malicious Software,"Michael Sikorski, Andrew Honig","Malware analysis is big business, and attacks can cost a company dearly. When malware breaches your defenses, you need to act quickly to cure current infections and prevent future ones from occurring.For those who want to stay ahead of the latest malware, Practical Malware Analysis will teach you the tools and techniques used by professional analysts. With tis book as your guide, you'll be able to safely analyze, debug, and disassemble any malicious software that comes your way.",beginners,"https://m.media-amazon.com/images/I/51GY7SLYGFL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1593272901,0,Cyber Security
Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Mitnick Kevin D Simon William L,"Kevin Mitnick was the most elusive computer break-in artist in history. He accessed computers and networks at the world's biggest companies -- and however fast the authorities were, Mitnick was faster, sprinting through phone switches, computer systems, and cellular networks. He spent years skipping through cyberspace, always three steps ahead and labeled unstoppable. But for Kevin, hacking wasn't just about technological feats-it was an old fashioned confidence game that required guile and deception to trick the unwitting out of valuable information. Driven by a powerful urge to accomplish the impossible, Mitnick bypassed security systems and blazed into major organizations including Motorola, Sun Microsystems, and Pacific Bell. But as the FBI's net began to tighten, Kevin went on the run, engaging in an increasingly sophisticated cat and mouse game that led through false identities, a host of cities, plenty of close shaves, and an ultimate showdown with the Feds, who would stop at nothing to bring him down. Ghost in the Wires is a thrilling true story of intrigue, suspense, and unbelievable escape, and a portrait of a visionary whose creativity, skills, and persistence forced the authorities to rethink the way they pursued him, inspiring ripples that brought permanent changes in the way people and companies protect their most sensitive information",beginners,"https://m.media-amazon.com/images/I/51v7hyBpt1L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg", ? 0316037729,2,Cyber Security
"Hacking: The Art of Exploitation, 2nd Edition",Jon Erickson,"Hacking is the art of creative problem solving, whether that means finding an unconventional solution to a difficult problem or exploiting holes in sloppy programming. Many people call themselves hackers, but few have the strong technical foundation needed to really push the envelope.",beginners,"https://m.media-amazon.com/images/I/61WRz4V+ADL._SX258_BO1,204,203,200_.jpg",1593271441,0,Cyber Security
The Hacker Playbook 3: Practical Guide to Penetration Testing,Peter Kim,"The Hacker Playbook 3 (THP3) takes your offensive game to the pro tier. With a combination of new strategies, attacks, exploits, tips and tricks, you will be able to put yourself in the center of the action toward victory.The main purpose of this book is to answer questions as to why things are still broken. For instance, with all the different security products, secure code reviews, defense in depth, and penetration testing requirements, how are we still seeing massive security breaches happening to major corporations and governments? The real question we need to ask ourselves is, are all the safeguards we are putting in place working?",beginners,"https://m.media-amazon.com/images/I/51zgTNCrYXL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",1980901759,2,Cyber Security
The Web Application Hacker's Handbook: Finding and Exploiting Security Flaws,"Dafydd Stuttard, Marcus Pinto","The highly successful security book returns with a new edition, completely updatedWeb applications are the front door to most organizations, exposing them to attacks that may disclose personal information, execute fraudulent transactions, or compromise ordinary users. This practical book has been completely updated and revised to discuss the latest step-by-step techniques for attacking and defending the range of ever-evolving web applications. You'll explore the various new technologies employed in web applications that have appeared since the first edition and review the new attack techniques that have been developed, particularly in relation to the client side.",intermediate,"https://m.media-amazon.com/images/I/51mzEbU-nBL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1118026470,4,Cyber Security
"Applied Cryptography: Protocols, Algorithms, and Source Code in C",Bruce Schneier,"This book provides a comprehensive overview of the field of cryptography, covering topics such as symmetric and asymmetric encryption, digital signatures, and key management.",advanced,"https://m.media-amazon.com/images/I/41ndr5mq6eL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",9.78E+12,4.4,Cyber Security
Scam Me If You Can: Simple Strategies to Outsmart Today's Rip-off Artists, Frank Abagnale," In Scam Me If You Can, he reveals the latest tricks that today's scammers, hackers, and con artists use to steal your money and personal information--often online and over the phone. Using plain language and vivid examples, Abagnale reveals hundreds of tips, including:

The best way to protect your phone from being hacked
The only time you should ever use a debit card
The one type of photo you should never post on social media
The only conditions under which you should use WiFi networks at the airport
The safest way to use an ATM",intermediate,"https://m.media-amazon.com/images/I/41PFZTr-jmL._SX324_BO1,204,203,200_.jpg",? 0525538968,0,Cyber Security
Black Hat Python: Python Programming for Hackers and Pentesters,Justin Seitz,"This book provides a hands-on guide to using Python for hacking and penetration testing, covering topics such as network scanning, exploiting vulnerabilities, and creating custom malware.",intermediate,"https://m.media-amazon.com/images/I/51O-GzoZi5L._SX376_BO1,204,203,200_.jpg",1593275900,4.5,Cyber Security
"CISSP (ISC)2 Certified Information Systems Security Professional Official Study Guide, 8th Edition","Mike Chapple, James Michael Stewart, Darril Gibson","This book provides a comprehensive guide to preparing for the CISSP certification exam, covering topics such as security and risk management, asset security, and software development security.",advanced,"https://m.media-amazon.com/images/I/41oXq2SgyQL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1119475937,0,Cyber Security
"Network Security Essentials: Applications and Standards, 6th Edition",William Stallings,"This book provides a comprehensive overview of network security, covering topics such as cryptography, network security protocols, and wireless network security.",intermediate,"https://m.media-amazon.com/images/I/418rdixMmCL._SX386_BO1,204,203,200_.jpg",9.78E+12,4.3,Cyber Security
"Gray Hat Hacking: The Ethical Hacker's Handbook, 5th Edition","Daniel Regalado, Shon Harris, Allen Harper, Chris Eagle, Jonathan Ness","This book provides a comprehensive guide to ethical hacking, covering topics such as reconnaissance, scanning, enumeration, and exploitation techniques.",intermediate,https://m.media-amazon.com/images/I/51hD7LS3TxL.jpg,978-1260108415,4.4,Cyber Security
Cybersecurity: What Everyone Needs to Know,"Peter W. Singer, Allan Friedman","Dependence on computers has had a transformative effect on human society. Cybernetics is now woven into the core functions of virtually every basic institution, including our oldest ones. War is one such institution, and the digital revolution's impact on it has been profound. The American military, which has no peer, is almost completely reliant on high-tech computer systems. Given the Internet's potential for full-spectrum surveillance and information disruption, the marshaling of computer networks represents the next stage of cyberwar. Indeed, it is upon us already.",intermediate,"https://m.media-amazon.com/images/I/51+YNUAkEeL._SX331_BO1,204,203,200_.jpg",9.78E+12,5,Cyber Security
BTFM: Blue Team Field Manual,"Alan White, Ben Clark","Blue Team Field Manual (BTFM) is a Cyber Security Incident Response Guide that aligns with the NIST Cybersecurity Framework consisting of the five core functions of Identify, Protect, Detect, Respond, and Recover by providing the tactical steps to follow and commands to use when preparing for, working through and recovering from a Cyber Security Incident.",beginners,"https://m.media-amazon.com/images/I/31kukByW4sL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg", 154101636X,0,Cyber Security
The Hardware Hacker: Adventures in Making and Breaking Hardware,Andrew Bunnie Huang,"For over a decade, Andrew ""bunnie"" Huang, one of the world's most esteemed hackers, has shaped the fields of hacking and hardware, from his cult-classic book Hacking the Xbox to the open-source laptop Novena and his mentorship of various hardware startups and developers. In The Hardware Hacker, Huang shares his experiences in manufacturing and open hardware, creating an illuminating and compelling career retrospective.",advanced,"https://m.media-amazon.com/images/I/51L8sw3nZEL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",159327758X,5,Cyber Security
